Id,Time[ns],0:I²C: Address/Data
384,2645626278.00,Data write: EF
385,2645706280.00,ACK
386,2645718928.00,Data write: 00
387,2645798930.00,ACK
388,2645811528.00,Data write: 00
389,2645891528.00,ACK
390,2645904176.00,Data write: 00
391,2645984176.00,ACK
392,2645996774.00,Data write: 00
393,2646076776.00,ACK
394,2646089424.00,Data write: 00
395,2646169424.00,ACK
396,2646182022.00,Data write: 00
397,2646262022.00,ACK
398,2646274670.00,Data write: 00
399,2646354672.00,ACK
400,2646367268.00,Data write: 00
401,2646447270.00,ACK
402,2646459918.00,Data write: 00
403,2646539918.00,ACK
404,2646552516.00,Data write: 00
405,2646632516.00,ACK
406,2646645164.00,Data write: 00
407,2646725166.00,ACK
408,2646737910.00,Data write: F1
409,2646817912.00,ACK
410,2646830562.00,Data write: 00
411,2646910562.00,ACK
412,2646923162.00,Data write: 00
413,2647003162.00,ACK
414,2647015808.00,Data write: 00
415,2647095810.00,ACK
416,2647108408.00,Data write: 1D
417,2647188410.00,ACK
418,2647201058.00,Data write: 0A
419,2647281058.00,ACK
420,2647293656.00,Data write: 00
421,2647373656.00,ACK
422,2647386304.00,Data write: 00
423,2647466306.00,ACK
424,2647478902.00,Data write: F5
425,2647558904.00,ACK
426,2647571552.00,Data write: 09
427,2647651552.00,ACK
428,2647664150.00,Data write: 00
429,2647744152.00,ACK
430,2647756750.00,Data write: 00
431,2647836750.00,ACK
432,2647849346.00,Data write: FD
433,2647929348.00,ACK
434,2647941996.00,Data write: 09
435,2648021996.00,ACK
436,2648034594.00,Data write: 00
437,2648114596.00,ACK
438,2648127244.00,Data write: 00
439,2648207244.00,ACK
440,2648219842.00,Data write: 00
441,2648299844.00,ACK
442,2648312490.00,Data write: 00
443,2648392492.00,ACK
444,2648405090.00,Data write: 00
445,2648485090.00,ACK
446,2648497738.00,Data write: 00
447,2648577740.00,ACK
448,2648590338.00,Data write: 00
449,2648670338.00,ACK
450,2648682986.00,Data write: 00
451,2648762986.00,ACK
452,2648775584.00,Data write: 00
453,2648855586.00,ACK
454,2648868234.00,Data write: 00
455,2648948234.00,ACK
456,2648960832.00,Data write: 00
457,2649040832.00,ACK
458,2649053480.00,Data write: 00
459,2649133482.00,ACK
460,2649146080.00,Data write: 00
461,2649226080.00,ACK
462,2649238728.00,Data write: 00
463,2649318728.00,ACK
464,2649331326.00,Data write: 35
465,2649411326.00,ACK
466,2649423974.00,Data write: 01
467,2649503974.00,ACK
468,2649516574.00,Data write: 00
469,2649596574.00,ACK
470,2649609222.00,Data write: 00
471,2649689222.00,ACK
472,2649701820.00,Data write: 00
473,2649781822.00,ACK
474,2649794420.00,Data write: 00
475,2649874420.00,ACK
476,2649887018.00,Data write: 00
477,2649967020.00,ACK
478,2649979666.00,Data write: 00
479,2650059668.00,ACK
480,2650072266.00,Data write: 00
481,2650152266.00,ACK
482,2650164914.00,Data write: 00
483,2650244916.00,ACK
484,2650257512.00,Data write: 00
485,2650337514.00,ACK
486,2650350162.00,Data write: 00
487,2650430162.00,ACK
488,2650442758.00,Data write: EB
489,2650522760.00,ACK
490,2650535410.00,Data write: 06
491,2650615410.00,ACK
492,2650628008.00,Data write: 00
493,2650708008.00,ACK
494,2650720656.00,Data write: 00
495,2650800656.00,ACK
496,2650813254.00,Data write: F3
497,2650893254.00,ACK
498,2650905978.00,Data write: 06
499,2650985980.00,ACK
500,2650998578.00,Data write: 00
501,2651078578.00,ACK
502,2651091202.00,Data write: 00
503,2651171202.00,ACK
504,2651183800.00,Data write: 13
505,2651263800.00,ACK
506,2651276448.00,Data write: 0A
507,2651356448.00,ACK
508,2651369046.00,Data write: 00
509,2651449048.00,ACK
510,2651461696.00,Data write: 00
511,2651541696.00,ACK
512,2651554294.00,Data write: 00
513,2651634296.00,ACK
514,2651646942.00,Data write: 00
515,2651726944.00,ACK
516,2651739542.00,Data write: 00
517,2651819544.00,ACK
518,2651832266.00,Data write: 00
519,2651912266.00,ACK
520,2651924864.00,Data write: 00
521,2652004864.00,ACK
522,2652017488.00,Data write: 00
523,2652097488.00,ACK
524,2652110086.00,Data write: 00
525,2652190088.00,ACK
526,2652202734.00,Data write: 00
527,2652282736.00,ACK
528,2652295334.00,Data write: 00
529,2652375334.00,ACK
530,2652387982.00,Data write: 00
531,2652467984.00,ACK
532,2652480580.00,Data write: 00
533,2652560582.00,ACK
534,2652573230.00,Data write: 00
535,2652653230.00,ACK
536,2652665828.00,Data write: 41
537,2652745830.00,ACK
538,2652758452.00,Data write: 01
539,2652838452.00,ACK
540,2652851050.00,Data write: 00
541,2652931052.00,ACK
542,2652943674.00,Data write: 00
543,2653023676.00,ACK
544,2653036274.00,Data write: 49
545,2653116274.00,ACK
546,2653128922.00,Data write: 01
547,2653208922.00,ACK
548,2653221520.00,Data write: 00
549,2653301522.00,ACK
550,2653314170.00,Data write: 00
551,2653394170.00,ACK
552,2653406768.00,Data write: 00
553,2653486768.00,ACK
554,2653499416.00,Data write: 00
555,2653579418.00,ACK
556,2653592016.00,Data write: 00
557,2653672016.00,ACK
558,2653684664.00,Data write: 00
559,2653764664.00,ACK
560,2653777262.00,Data write: 00
561,2653857264.00,ACK
562,2653869912.00,Data write: 00
563,2653949912.00,ACK
564,2653962510.00,Data write: 00
565,2654042510.00,ACK
566,2654055158.00,Data write: 00
567,2654135160.00,ACK
568,2654147758.00,Data write: 61
569,2654227758.00,ACK
570,2654240406.00,Data write: 06
571,2654320408.00,ACK
572,2654333004.00,Data write: 00
573,2654413006.00,ACK
574,2654425654.00,Data write: 00
575,2654505654.00,ACK
576,2654518252.00,Data write: 00
577,2654598252.00,ACK
578,2654610900.00,Data write: 00
579,2654690902.00,ACK
580,2654703500.00,Data write: 00
581,2654783500.00,ACK
582,2654796122.00,Data write: 00
583,2654876124.00,ACK
584,2654888722.00,Data write: 00
585,2654968722.00,ACK
586,2654981346.00,Data write: 00
587,2655061346.00,ACK
588,2655073944.00,Data write: 00
589,2655153944.00,ACK
590,2655166592.00,Data write: 00
591,2655246594.00,ACK
592,2655259192.00,Data write: 00
593,2655339192.00,ACK
594,2655351840.00,Data write: 00
595,2655431840.00,ACK
596,2655444438.00,Data write: 00
597,2655524440.00,ACK
598,2655537088.00,Data write: 00
599,2655617088.00,ACK
600,2655629684.00,Data write: E1
601,2655709686.00,ACK
602,2655722334.00,Data write: 06
603,2655802336.00,ACK
604,2655814932.00,Data write: 00
605,2655894934.00,ACK
606,2655907582.00,Data write: 00
607,2655987584.00,ACK
608,2656000180.00,Data write: 09
609,2656080180.00,ACK
610,2656092830.00,Data write: 0A
611,2656172830.00,ACK
612,2656185428.00,Data write: 00
613,2656265428.00,ACK
614,2656278076.00,Data write: 00
615,2656358078.00,ACK
616,2656370676.00,Data write: 2D
617,2656450676.00,ACK
618,2656463324.00,Data write: 01
619,2656543324.00,ACK
620,2656555922.00,Data write: 00
621,2656635924.00,ACK
622,2656648570.00,Data write: 00
623,2656728572.00,ACK
624,2656741170.00,Data write: 00
625,2656821172.00,ACK
626,2656833818.00,Data write: 00
627,2656913820.00,ACK
628,2656926418.00,Data write: 00
629,2657006418.00,ACK
630,2657019066.00,Data write: 00
631,2657099068.00,ACK
632,2657111664.00,Data write: 27
633,2657191666.00,ACK
634,2657204312.00,Data write: 0A
635,2657284314.00,ACK
636,2657296912.00,Data write: 00
637,2657376912.00,ACK
638,2657389560.00,Data write: 00
639,2657469562.00,ACK
640,2657482158.00,Data write: 2F
641,2657562160.00,ACK
642,2657574808.00,Data write: 0A
643,2657654808.00,ACK
644,2657667406.00,Data write: 00
645,2657747408.00,ACK
646,2657760006.00,Data write: 00
647,2657840006.00,ACK
648,2657852602.00,Data write: FB
649,2657932604.00,ACK
650,2657945252.00,Data write: 06
651,2658025254.00,ACK
652,2658037850.00,Data write: 00
653,2658117852.00,ACK
654,2658130500.00,Data write: 00
655,2658210500.00,ACK
656,2658223098.00,Data write: 00
657,2658303100.00,ACK
658,2658315748.00,Data write: 00
659,2658395748.00,ACK
660,2658408346.00,Data write: 00
661,2658488346.00,ACK
662,2658500994.00,Data write: 00
663,2658580996.00,ACK
664,2658593592.00,Data write: 29
665,2658673594.00,ACK
666,2658686242.00,Data write: 02
667,2658766244.00,ACK
668,2658778840.00,Data write: 00
669,2658858842.00,ACK
670,2658871488.00,Data write: 00
671,2658951490.00,ACK
672,2658964088.00,Data write: 51
673,2659044088.00,ACK
674,2659056736.00,Data write: 01
675,2659136736.00,ACK
676,2659149334.00,Data write: 00
677,2659229336.00,ACK
678,2659241984.00,Data write: 00
679,2659321986.00,ACK
680,2659334582.00,Data write: 03
681,2659414582.00,ACK
682,2659427230.00,Data write: 48
683,2659507232.00,ACK
684,2659519828.00,Data write: 85
685,2659599830.00,ACK
686,2659612478.00,Data write: 46
687,2659692480.00,ACK
688,2659705078.00,Data write: 00
689,2659785078.00,ACK
690,2659797674.00,Data write: F0
691,2659877676.00,ACK
692,2659890274.00,Data write: 20
693,2659970276.00,ACK
694,2659982922.00,Data write: F8
695,2660062924.00,ACK
696,2660075522.00,Data write: 00
697,2660155522.00,ACK
698,2660168170.00,Data write: 48
699,2660248172.00,ACK
700,2660260770.00,Data write: 00
701,2660340770.00,ACK
702,2660353418.00,Data write: 47
703,2660433418.00,ACK
704,2660446016.00,Data write: 3B
705,2660526018.00,ACK
706,2660538664.00,Data write: 0A
707,2660618666.00,ACK
708,2660631264.00,Data write: 00
709,2660711266.00,ACK
710,2660723912.00,Data write: 00
711,2660803914.00,ACK
712,2660816512.00,Data write: 28
713,2660896512.00,ACK
714,2660909160.00,Data write: 06
715,2660989162.00,ACK
716,2661001760.00,Data write: 00
717,2661081760.00,ACK
718,2661094406.00,Data write: 20
719,2661174408.00,ACK
720,2661187006.00,Data write: 08
721,2661267008.00,ACK
722,2661279654.00,Data write: 48
723,2661359656.00,ACK
724,2661372254.00,Data write: 09
725,2661452254.00,ACK
726,2661464902.00,Data write: 4A
727,2661544902.00,ACK
728,2661557500.00,Data write: 00
729,2661637502.00,ACK
730,2661650148.00,Data write: 21
731,2661730150.00,ACK
732,2661742748.00,Data write: 00
733,2661822748.00,ACK
734,2661835394.00,Data write: A1
735,2661915396.00,ACK
736,2661927994.00,Data write: 81
737,2662007996.00,ACK
738,2662020644.00,Data write: 42
739,2662100646.00,ACK
740,2662113242.00,Data write: 00
741,2662193244.00,ACK
742,2662205890.00,Data write: D9
743,2662285892.00,ACK
744,2662298490.00,Data write: 02
745,2662378492.00,ACK
746,2662391138.00,Data write: 44
747,2662471140.00,ACK
748,2662483738.00,Data write: 07
749,2662563738.00,ACK
750,2662576386.00,Data write: 48
751,2662656386.00,ACK
752,2662668984.00,Data write: 02
753,2662748986.00,ACK
754,2662761608.00,Data write: 60
755,2662841610.00,ACK
756,2662854206.00,Data write: 07
757,2662934208.00,ACK
758,2662946830.00,Data write: 48
759,2663026832.00,ACK
760,2663039430.00,Data write: 00
761,2663119430.00,ACK
762,2663132078.00,Data write: 47
763,2663212078.00,ACK
764,2663224676.00,Data write: FE
765,2663304678.00,ACK
766,2663317322.00,Data write: E7
767,2663397326.00,ACK
768,2663409922.00,Data write: FE
769,2663489926.00,ACK
770,2663502570.00,Data write: E7
771,2663582574.00,ACK
772,2663595170.00,Data write: FE
773,2663675172.00,ACK
774,2663687818.00,Data write: E7
775,2663767820.00,ACK
776,2663780416.00,Data write: FE
777,2663860420.00,ACK
778,2663873066.00,Data write: E7
779,2663953068.00,ACK
780,2663965664.00,Data write: FE
781,2664045666.00,ACK
782,2664058312.00,Data write: E7
783,2664138314.00,ACK
784,2664150912.00,Data write: FE
785,2664230914.00,ACK
786,2664243560.00,Data write: E7
787,2664323562.00,ACK
788,2664336160.00,Data write: 00
789,2664416162.00,ACK
790,2664428808.00,Data write: 00
791,2664508810.00,ACK
792,2664521408.00,Data write: 00
793,2664601410.00,ACK
794,2664614058.00,Data write: 00
795,2664694058.00,ACK
796,2664706656.00,Data write: 00
797,2664786656.00,ACK
798,2664799278.00,Data write: 20
799,2664879280.00,ACK
800,2664891878.00,Data write: 00
801,2664971878.00,ACK
802,2664984502.00,Data write: 00
803,2665064502.00,ACK
804,2665077100.00,Data write: 00
805,2665157100.00,ACK
806,2665169748.00,Data write: 00
807,2665249750.00,ACK
808,2665262348.00,Data write: 08
809,2665342348.00,ACK
810,2665354994.00,Data write: ED
811,2665434996.00,ACK
812,2665447594.00,Data write: 00
813,2665527596.00,ACK
814,2665540242.00,Data write: E0
815,2665620244.00,ACK
816,2665632840.00,Data write: C1
817,2665712842.00,ACK
818,2665725490.00,Data write: 00
819,2665805492.00,ACK
820,2665818088.00,Data write: 00
821,2665898090.00,ACK
822,2665910738.00,Data write: 00
823,2665990738.00,ACK
824,2666003338.00,Data write: 06
825,2666083338.00,ACK
826,2666095986.00,Data write: 4C
827,2666175986.00,ACK
828,2666188584.00,Data write: 01
829,2666268584.00,ACK
830,2666281232.00,Data write: 25
831,2666361234.00,ACK
832,2666373832.00,Data write: 06
833,2666453832.00,ACK
834,2666466480.00,Data write: 4E
835,2666546482.00,ACK
836,2666559078.00,Data write: 05
837,2666639078.00,ACK
838,2666651726.00,Data write: E0
839,2666731728.00,ACK
840,2666744324.00,Data write: E3
841,2666824326.00,ACK
842,2666836974.00,Data write: 68
843,2666916976.00,ACK
844,2666929574.00,Data write: 07
845,2667009574.00,ACK
846,2667022220.00,Data write: CC
847,2667102224.00,ACK
848,2667114824.00,Data write: 2B
849,2667194824.00,ACK
850,2667207470.00,Data write: 43
851,2667287470.00,ACK
852,2667300068.00,Data write: 0C
853,2667380068.00,ACK
854,2667392716.00,Data write: 3C
855,2667472718.00,ACK
856,2667485314.00,Data write: 98
857,2667565316.00,ACK
858,2667577964.00,Data write: 47
859,2667657964.00,ACK
860,2667670562.00,Data write: 10
861,2667750564.00,ACK
862,2667763162.00,Data write: 34
863,2667843162.00,ACK
864,2667855758.00,Data write: B4
865,2667935762.00,ACK
866,2667948408.00,Data write: 42
867,2668028410.00,ACK
868,2668041006.00,Data write: F7
869,2668121008.00,ACK
870,2668133654.00,Data write: D3
871,2668213656.00,ACK
872,2668226252.00,Data write: FF
873,2668306256.00,ACK
874,2668318902.00,Data write: F7
875,2668398904.00,ACK
876,2668411500.00,Data write: D2
877,2668491502.00,ACK
878,2668504148.00,Data write: FF
879,2668584152.00,ACK
880,2668596750.00,Data write: 68
881,2668676750.00,ACK
882,2668689398.00,Data write: 0A
883,2668769400.00,ACK
884,2668781996.00,Data write: 00
885,2668861998.00,ACK
886,2668874646.00,Data write: 00
887,2668954646.00,ACK
888,2668967244.00,Data write: 78
889,2669047244.00,ACK
890,2669059892.00,Data write: 0A
891,2669139894.00,ACK
892,2669152492.00,Data write: 00
893,2669232492.00,ACK
894,2669245140.00,Data write: 00
895,2669325142.00,ACK
896,2669337736.00,Data write: 80
897,2669417740.00,ACK
898,2669430386.00,Data write: B5
899,2669510388.00,ACK
900,2669522986.00,Data write: 00
901,2669602986.00,ACK
902,2669615632.00,Data write: F0
903,2669695636.00,ACK
904,2669708234.00,Data write: 05
905,2669788234.00,ACK
906,2669800830.00,Data write: F8
907,2669880834.00,ACK
908,2669893428.00,Data write: 80
909,2669973432.00,ACK
910,2669986078.00,Data write: BD
911,2670066080.00,ACK
912,2670078676.00,Data write: 80
913,2670158680.00,ACK
914,2670171324.00,Data write: B5
915,2670251328.00,ACK
916,2670263926.00,Data write: 00
917,2670343926.00,ACK
918,2670356572.00,Data write: F0
919,2670436574.00,ACK
920,2670449172.00,Data write: 02
921,2670529174.00,ACK
922,2670541820.00,Data write: F8
923,2670621824.00,ACK
924,2670634418.00,Data write: 80
925,2670714420.00,ACK
926,2670727068.00,Data write: BD
927,2670807068.00,ACK
928,2670819668.00,Data write: 70
929,2670899668.00,ACK
930,2670912316.00,Data write: 47
931,2670992316.00,ACK
932,2671004914.00,Data write: 70
933,2671084916.00,ACK
934,2671097564.00,Data write: 47
935,2671177564.00,ACK
936,2671190160.00,Data write: 80
937,2671270164.00,ACK
938,2671282808.00,Data write: B5
939,2671362812.00,ACK
940,2671375410.00,Data write: 00
941,2671455410.00,ACK
942,2671468056.00,Data write: F0
943,2671548058.00,ACK
944,2671560656.00,Data write: 09
945,2671640656.00,ACK
946,2671653304.00,Data write: F8
947,2671733306.00,ACK
948,2671745902.00,Data write: 80
949,2671825904.00,ACK
950,2671838550.00,Data write: BD
951,2671918552.00,ACK
952,2671931150.00,Data write: 80
953,2672011152.00,ACK
954,2672023798.00,Data write: B5
955,2672103800.00,ACK
956,2672116398.00,Data write: 00
957,2672196400.00,ACK
958,2672209046.00,Data write: F0
959,2672289048.00,ACK
960,2672301646.00,Data write: 27
961,2672381646.00,ACK
962,2672394292.00,Data write: F8
963,2672474296.00,ACK
964,2672486892.00,Data write: 80
965,2672566894.00,ACK
966,2672579540.00,Data write: BD
967,2672659542.00,ACK
968,2672672140.00,Data write: 80
969,2672752142.00,ACK
970,2672764762.00,Data write: B5
971,2672844766.00,ACK
972,2672857364.00,Data write: 00
973,2672937364.00,ACK
974,2672949984.00,Data write: F0
