Id,Time[ns],0:I²C: Address/Data
701,1543673646.00,Data write: 81
702,1543696144.00,ACK
703,1543701198.00,Data write: 42
704,1543723736.00,ACK
705,1543728772.00,Data write: 00
706,1543751264.00,ACK
707,1543756294.00,Data write: D9
708,1543778796.00,ACK
709,1543783798.00,Data write: 02
710,1543806306.00,ACK
711,1543811346.00,Data write: 44
712,1543833832.00,ACK
713,1543838872.00,Data write: 07
714,1543861384.00,ACK
715,1543866396.00,Data write: 48
716,1543888890.00,ACK
717,1543893896.00,Data write: 02
718,1543916402.00,ACK
719,1543921496.00,Data write: 60
720,1543943972.00,ACK
721,1543949070.00,Data write: 07
722,1543971586.00,ACK
723,1543976670.00,Data write: 48
724,1543999176.00,ACK
725,1544004194.00,Data write: 00
726,1544026724.00,ACK
727,1544031768.00,Data write: 47
728,1544054254.00,ACK
729,1544059290.00,Data write: FE
730,1544081806.00,ACK
731,1544086790.00,Data write: E7
732,1544109272.00,ACK
733,1544114290.00,Data write: FE
734,1544136802.00,ACK
735,1544141790.00,Data write: E7
736,1544164270.00,ACK
737,1544169290.00,Data write: FE
738,1544191782.00,ACK
739,1544196788.00,Data write: E7
740,1544219326.00,ACK
741,1544224364.00,Data write: FE
742,1544246858.00,ACK
743,1544251888.00,Data write: E7
744,1544274406.00,ACK
745,1544279388.00,Data write: FE
746,1544301872.00,ACK
747,1544306888.00,Data write: E7
748,1544329398.00,ACK
749,1544334386.00,Data write: FE
750,1544356906.00,ACK
751,1544361886.00,Data write: E7
752,1544384370.00,ACK
753,1544389388.00,Data write: 00
754,1544411872.00,ACK
755,1544416888.00,Data write: 00
756,1544439380.00,ACK
757,1544444388.00,Data write: 00
758,1544466904.00,ACK
759,1544471888.00,Data write: 00
760,1544494368.00,ACK
761,1544499388.00,Data write: 00
762,1544521896.00,ACK
763,1544526886.00,Data write: 20
764,1544549404.00,ACK
765,1544554386.00,Data write: 00
766,1544576886.00,ACK
767,1544581886.00,Data write: 00
768,1544604390.00,ACK
769,1544609386.00,Data write: 00
770,1544631896.00,ACK
771,1544636886.00,Data write: 00
772,1544659362.00,ACK
773,1544664384.00,Data write: 08
774,1544686872.00,ACK
775,1544691882.00,Data write: ED
776,1544714380.00,ACK
777,1544719384.00,Data write: 00
778,1544741888.00,ACK
779,1544746880.00,Data write: E0
780,1544769390.00,ACK
781,1544774380.00,Data write: C1
782,1544796894.00,ACK
783,1544801882.00,Data write: 00
784,1544824380.00,ACK
785,1544829382.00,Data write: 00
786,1544851868.00,ACK
787,1544856882.00,Data write: 00
788,1544879394.00,ACK
789,1544884382.00,Data write: 06
790,1544906896.00,ACK
791,1544911982.00,Data write: 4C
792,1544934486.00,ACK
793,1544939580.00,Data write: 01
794,1544962098.00,ACK
795,1544967180.00,Data write: 25
796,1544989666.00,ACK
797,1544994730.00,Data write: 06
798,1545017220.00,ACK
799,1545022280.00,Data write: 4E
800,1545044786.00,ACK
801,1545049830.00,Data write: 05
802,1545072352.00,ACK
803,1545077376.00,Data write: E0
804,1545099880.00,ACK
805,1545104876.00,Data write: E3
806,1545127386.00,ACK
807,1545132428.00,Data write: 68
808,1545154914.00,ACK
809,1545159952.00,Data write: 07
810,1545182294.00,ACK
811,1545187324.00,Data write: CC
812,1545209824.00,ACK
813,1545214852.00,Data write: 2B
814,1545237352.00,ACK
815,1545242376.00,Data write: 43
816,1545264898.00,ACK
817,1545269928.00,Data write: 0C
818,1545292426.00,ACK
819,1545297476.00,Data write: 3C
820,1545320016.00,ACK
821,1545325048.00,Data write: 98
822,1545347540.00,ACK
823,1545352574.00,Data write: 47
824,1545375066.00,ACK
825,1545380074.00,Data write: 10
826,1545402612.00,ACK
827,1545407674.00,Data write: 34
828,1545430158.00,ACK
829,1545435172.00,Data write: B4
830,1545457706.00,ACK
831,1545462772.00,Data write: 42
832,1545485254.00,ACK
833,1545490270.00,Data write: F7
834,1545512762.00,ACK
835,1545517770.00,Data write: D3
836,1545540268.00,ACK
837,1545545270.00,Data write: FF
838,1545567772.00,ACK
839,1545572768.00,Data write: F7
840,1545595280.00,ACK
841,1545600318.00,Data write: D2
842,1545622846.00,ACK
843,1545627868.00,Data write: FF
844,1545650378.00,ACK
845,1545655420.00,Data write: 68
846,1545677926.00,ACK
847,1545682970.00,Data write: 0A
848,1545705454.00,ACK
849,1545710470.00,Data write: 00
850,1545732980.00,ACK
851,1545738018.00,Data write: 00
852,1545760528.00,ACK
853,1545765568.00,Data write: 78
854,1545788056.00,ACK
855,1545793068.00,Data write: 0A
856,1545815560.00,ACK
857,1545820568.00,Data write: 00
858,1545843046.00,ACK
859,1545848068.00,Data write: 00
860,1545870576.00,ACK
861,1545875614.00,Data write: 80
862,1545898124.00,ACK
863,1545903164.00,Data write: B5
864,1545925654.00,ACK
865,1545930666.00,Data write: 00
866,1545953158.00,ACK
867,1545958164.00,Data write: F0
868,1545980644.00,ACK
869,1545985666.00,Data write: 05
870,1546008174.00,ACK
871,1546013212.00,Data write: F8
872,1546035722.00,ACK
873,1546040762.00,Data write: 80
874,1546063252.00,ACK
875,1546068262.00,Data write: BD
876,1546090760.00,ACK
877,1546095760.00,Data write: 80
878,1546118246.00,ACK
879,1546123260.00,Data write: B5
880,1546145776.00,ACK
881,1546150812.00,Data write: 00
882,1546173328.00,ACK
883,1546178360.00,Data write: F0
884,1546200860.00,ACK
885,1546205862.00,Data write: 02
886,1546228348.00,ACK
887,1546233360.00,Data write: F8
888,1546255860.00,ACK
889,1546260858.00,Data write: 80
890,1546283350.00,ACK
891,1546288358.00,Data write: BD
892,1546310858.00,ACK
893,1546315860.00,Data write: 70
894,1546338364.00,ACK
895,1546343360.00,Data write: 47
896,1546365852.00,ACK
897,1546370860.00,Data write: 70
898,1546393340.00,ACK
899,1546398360.00,Data write: 47
900,1546420846.00,ACK
901,1546425856.00,Data write: 80
902,1546448354.00,ACK
903,1546453356.00,Data write: B5
904,1546475860.00,ACK
905,1546480858.00,Data write: 00
906,1546503348.00,ACK
907,1546508356.00,Data write: F0
908,1546530836.00,ACK
909,1546535858.00,Data write: 09
910,1546558344.00,ACK
911,1546563354.00,Data write: F8
912,1546585854.00,ACK
913,1546590854.00,Data write: 80
914,1546613364.00,ACK
915,1546618404.00,Data write: BD
916,1546640934.00,ACK
917,1546645954.00,Data write: 80
918,1546668460.00,ACK
919,1546673452.00,Data write: B5
920,1546695968.00,ACK
921,1546701006.00,Data write: 00
922,1546723500.00,ACK
923,1546728552.00,Data write: F0
924,1546751034.00,ACK
925,1546756054.00,Data write: 27
926,1546778586.00,ACK
927,1546783652.00,Data write: F8
928,1546806138.00,ACK
929,1546811152.00,Data write: 80
930,1546833690.00,ACK
931,1546838750.00,Data write: BD
932,1546861244.00,ACK
933,1546866250.00,Data write: 80
934,1546888732.00,ACK
935,1546893750.00,Data write: B5
936,1546916240.00,ACK
937,1546921328.00,Data write: 00
938,1546943830.00,ACK
939,1546948924.00,Data write: F0
940,1546971424.00,ACK
941,1546976526.00,Data write: 24
942,1546999016.00,ACK
943,1547004048.00,Data write: F8
944,1547026566.00,ACK
945,1547031598.00,Data write: 80
946,1547054114.00,ACK
947,1547059148.00,Data write: BD
948,1547081664.00,ACK
949,1547086700.00,Data write: 10
950,1547109192.00,ACK
951,1547114246.00,Data write: B5
952,1547136784.00,ACK
953,1547141824.00,Data write: 00
954,1547164314.00,ACK
955,1547169346.00,Data write: F0
956,1547191866.00,ACK
957,1547196896.00,Data write: 9D
958,1547219378.00,ACK
959,1547224394.00,Data write: F9
960,1547246888.00,ACK
961,1547251922.00,Data write: 00
962,1547274452.00,ACK
963,1547279446.00,Data write: 28
964,1547301960.00,ACK
965,1547306998.00,Data write: 17
966,1547329508.00,ACK
967,1547334544.00,Data write: D0
968,1547357036.00,ACK
969,1547362046.00,Data write: 00
970,1547384562.00,ACK
971,1547389592.00,Data write: F0
972,1547412110.00,ACK
973,1547417142.00,Data write: 93
974,1547439634.00,ACK
975,1547444642.00,Data write: F8
976,1547467138.00,ACK
977,1547472144.00,Data write: 0B
978,1547494624.00,ACK
979,1547499644.00,Data write: 48
980,1547522152.00,ACK
